Designator,Footprint,Quantity,Value,LCSC Part #
AE1,1206,1,Antenna_Chip,C293767
"C3, C5, C7, C8",402,4,100n,C307331
C6,402,1,1u,C52923
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
Q1,SOT-363_SC-70-6,1,MUN5214DW1T1G,C136173
"R2, R3",402,2,5.1k,C25905
R6,402,1,3.3k,C25890
R7,402,1,2k,C4109
R8,402,1,10k,C25744
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2104,C47742
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,1,ESP32-PICO-D4,C193707
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,LY68L6400SLIT,C261881
